Carga Real,3010,3011,3012,3013
0,-0.037,0.023,0.062,0.082
15,14.813,14.67,14.0,13.547
30,29.883,29.643,28.6,27.97
45,45.22,44.593,43.54,42.783
60,60.67,59.647,58.7,57.723
75,76.37,74.96,74.15,72.02
90,92.24,90.56,89.86,88.02
105,108.4,106.53,105.87,103.57
120,124.73,122.7,122.1,119.0
135,141.23,139.1,138.47,135.07
150,158.0,155.57,154.9,151.07
