serial,composite,weight,reading,timestamp
3010,,0.0,-0.037,0
3010,,15.0,14.813,0
3010,,30.0,29.883,0
3010,,45.0,45.22,0
3010,,60.0,60.67,0
3010,,75.0,76.37,0
3010,,90.0,92.24,0
3010,,105.0,108.4,0
3010,,120.0,124.73,0
3010,,135.0,141.23,0
3010,,150.0,158.0,0
3011,,0.0,0.023,0
3011,,15.0,14.67,0
3011,,30.0,29.643,0
3011,,45.0,44.593,0
3011,,60.0,59.647,0
3011,,75.0,74.96,0
3011,,90.0,90.56,0
3011,,105.0,106.53,0
3011,,120.0,122.7,0
3011,,135.0,139.1,0
3011,,150.0,155.57,0
3012,,0.0,0.062,0
3012,,15.0,14.0,0
3012,,30.0,28.6,0
3012,,45.0,43.54,0
3012,,60.0,58.7,0
3012,,75.0,74.15,0
3012,,90.0,89.86,0
3012,,105.0,105.87,0
3012,,120.0,122.1,0
3012,,135.0,138.47,0
3012,,150.0,154.9,0
3013,,0.0,0.082,0
3013,,15.0,13.547,0
3013,,30.0,27.97,0
3013,,45.0,42.783,0
3013,,60.0,57.723,0
3013,,75.0,72.02,0
3013,,90.0,88.02,0
3013,,105.0,103.57,0
3013,,120.0,119.0,0
3013,,135.0,135.07,0
3013,,150.0,151.07,0
